test_name	included_in_unit_basic	category	rule_kind	rule_pattern	rationale
acp::tests::permission_request_emits_json_rpc_and_accepts_routed_response	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::permission_request_times_out_fail_closed	no	async_timing_dependent_flow_tests	exact	acp::tests::permission_request_times_out_fail_closed	This case intentionally waits for a timeout path and is incompatible with a fast required gate.
acp::tests::permission_response_approves_allow_once	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::permission_response_denies_reject_once_and_cancelled	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::permission_response_malformed_is_denied	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::resolve_acp_thinking_level_clamps_non_reasoning_models_to_off	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::resolve_acp_thinking_level_defaults_to_highest_supported_level	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::resolve_set_model_target_accepts_explicit_provider_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::resolve_set_model_target_rejects_missing_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::resolve_set_model_target_rejects_unknown_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::resolve_set_model_target_resolves_provider_from_bare_value	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::select_acp_model_entry_falls_back_to_first_available_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::select_acp_model_entry_matches_provider_aliases	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::select_acp_model_entry_prefers_default_model_when_provider_is_unset	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::select_acp_model_entry_prefers_default_provider_when_model_is_unset	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::select_acp_model_entry_prefers_exact_configured_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
agent::abort_tests::abort_before_run_skips_provider_stream_call	yes	unit_basic_fast_deterministic	prefix	agent::abort_tests	Agent abort state transitions with deterministic in-memory harnesses.
agent::abort_tests::abort_during_tool_execution_records_aborted_tool_result	yes	unit_basic_fast_deterministic	prefix	agent::abort_tests	Agent abort state transitions with deterministic in-memory harnesses.
agent::abort_tests::abort_interrupts_in_flight_stream	yes	unit_basic_fast_deterministic	prefix	agent::abort_tests	Agent abort state transitions with deterministic in-memory harnesses.
agent::abort_tests::abort_then_resume_preserves_session_history	yes	unit_basic_fast_deterministic	prefix	agent::abort_tests	Agent abort state transitions with deterministic in-memory harnesses.
agent::abort_tests::ambient_cancellation_interrupts_in_flight_stream	yes	unit_basic_fast_deterministic	prefix	agent::abort_tests	Agent abort state transitions with deterministic in-memory harnesses.
agent::abort_tests::repeated_abort_then_resume_has_consistent_timeline_and_state	yes	unit_basic_fast_deterministic	prefix	agent::abort_tests	Agent abort state transitions with deterministic in-memory harnesses.
agent::compatible_tool_parallelism_tests::compatible_tool_parallelism_accepts_bounded_override	yes	unit_basic_fast_deterministic	prefix	agent::compatible_tool_parallelism_tests	Pure scheduling and compatibility calculations for tool parallelism.
agent::compatible_tool_parallelism_tests::compatible_tool_parallelism_ignores_invalid_override	yes	unit_basic_fast_deterministic	prefix	agent::compatible_tool_parallelism_tests	Pure scheduling and compatibility calculations for tool parallelism.
agent::compatible_tool_parallelism_tests::compatible_tool_parallelism_preserves_historical_floor	yes	unit_basic_fast_deterministic	prefix	agent::compatible_tool_parallelism_tests	Pure scheduling and compatibility calculations for tool parallelism.
agent::compatible_tool_parallelism_tests::compatible_tool_parallelism_scales_on_many_core_hosts	yes	unit_basic_fast_deterministic	prefix	agent::compatible_tool_parallelism_tests	Pure scheduling and compatibility calculations for tool parallelism.
agent::extensions_integration_tests::agent_extension_session_get_state_reports_agent_runtime_state	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_extension_session_get_state_uses_branch_local_model_and_thinking	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_host_actions_complete_ai_streams_configured_provider	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_host_actions_send_message_inherits_cancelled_context_when_locked	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_session_enable_extensions_registers_extension_tools	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_session_enable_extensions_rejects_mixed_js_and_native_entries	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_session_enable_extensions_with_no_entries_clears_and_is_noop	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::agent_session_set_queue_modes_updates_extension_delivery_state	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::extension_command_send_message_trigger_turn_runs_agent_turn_when_idle	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::extension_command_send_user_message_runs_agent_turn_when_idle	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::extension_send_message_persists_custom_message_entry_when_idle	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::extension_send_message_persists_custom_message_entry_when_idle_after_await	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::latency_breakdown_reports_component_tail_percentiles	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::latency_breakdown_serializes_without_provider_secrets	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::send_user_message_follow_up_does_not_skip_tools	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::send_user_message_steer_skips_remaining_tools	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_approval_allow_executes_tool	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_approval_deny_blocks_tool_execution	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_call_hook_absent_allows_tool_execution	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_call_hook_can_block_bash_tool_execution	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_call_hook_can_block_tool_execution	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_call_hook_errors_fail_closed_when_configured	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_call_hook_errors_fail_open	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_call_hook_returns_empty_allows_tool_execution	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_result_hook_can_modify_tool_not_found_error	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_result_hook_can_modify_tool_output	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_result_hook_errors_fail_open	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::extensions_integration_tests::tool_result_hook_runs_on_blocked_tool_call	yes	unit_basic_fast_deterministic	prefix	agent::extensions_integration_tests	Deterministic mocked extension-agent interactions without external I/O.
agent::message_queue_tests::message_queue_all_mode	yes	unit_basic_fast_deterministic	prefix	agent::message_queue_tests	In-memory queue ordering and mode semantics.
agent::message_queue_tests::message_queue_follow_up_all_mode_drains_entire_queue_in_order	yes	unit_basic_fast_deterministic	prefix	agent::message_queue_tests	In-memory queue ordering and mode semantics.
agent::message_queue_tests::message_queue_one_at_a_time	yes	unit_basic_fast_deterministic	prefix	agent::message_queue_tests	In-memory queue ordering and mode semantics.
agent::message_queue_tests::message_queue_separates_kinds	yes	unit_basic_fast_deterministic	prefix	agent::message_queue_tests	In-memory queue ordering and mode semantics.
agent::message_queue_tests::message_queue_seq_increments	yes	unit_basic_fast_deterministic	prefix	agent::message_queue_tests	In-memory queue ordering and mode semantics.
agent::message_queue_tests::message_queue_seq_saturates_at_u64_max	yes	unit_basic_fast_deterministic	prefix	agent::message_queue_tests	In-memory queue ordering and mode semantics.
agent::tests::apply_compaction_result_emits_structured_result_payload	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::apply_session_model_selection_clears_stale_key_for_keyless_target	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::apply_session_model_selection_treats_blank_model_key_as_missing_credential	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::apply_session_model_selection_updates_stream_credentials_and_headers	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_compaction_end_includes_error_message_when_present	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_compaction_end_serializes_to_pi_mono_format	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_compaction_end_serializes_with_pi_mono_compatible_fields	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_compaction_end_with_error_serializes_error_message	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_compaction_start_serializes_to_pi_mono_format	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_compaction_start_serializes_with_pi_mono_compatible_type_tag	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_retry_end_failure_serializes_final_error	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_retry_end_includes_final_error_on_failure	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_retry_end_serializes_success_and_omits_null_final_error	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_retry_end_success_serializes_to_pi_mono_format	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_retry_start_serializes_to_pi_mono_format	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::auto_retry_start_serializes_with_camel_case_fields	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::build_context_keeps_images_when_block_images_disabled	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::build_context_strips_images_when_block_images_enabled	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::clamp_max_tool_iterations_matches_resolve_semantics	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::compaction_runtime_handle_creates_fallback_runtime	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::delta_without_start_does_not_mutate_previous_message	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::enable_extensions_policy_resolution_defaults_to_permissive	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::enable_extensions_policy_resolution_prefers_explicit_policy	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::enable_extensions_policy_resolution_respects_config_default_toggle	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::filter_image_blocks_replaces_images_with_deduped_placeholder_text	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::filter_images_for_provider_filters_images_from_all_block_message_types	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::iteration_handoff_steering_text_is_self_describing	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::iteration_warning_fires_at_80_percent_for_custom_caps	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::iteration_warning_fires_at_80_percent_for_default_cap	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::iteration_warning_handles_minimum_warnable_cap_boundary	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::iteration_warning_handles_overflow_resistant_caps	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::iteration_warning_skipped_for_caps_below_minimum	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::message_queue_pop_respects_queue_modes_per_kind	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::message_queue_pop_steering_one_at_a_time_preserves_order	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::message_queue_push_increments_seq_and_counts_both_queues	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::message_queue_set_modes_applies_to_existing_messages	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::resolve_max_tool_iterations_accepts_valid_overrides_and_trims_whitespace	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::resolve_max_tool_iterations_clamps_above_ceiling	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::resolve_max_tool_iterations_handles_unset_empty_and_whitespace	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::resolve_max_tool_iterations_rejects_zero_and_invalid	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::semantic_context_bundle_injection_adds_bounded_custom_message_and_session_provenance	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::semantic_context_bundle_injection_is_disabled_by_default	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::semantic_context_bundle_uses_system_prompt_append_for_providers_without_custom_context	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::set_provider_model_allows_current_model_without_registry	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::set_provider_model_clamps_thinking_for_non_reasoning_targets	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::set_provider_model_preserves_session_header_when_switch_fails	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::set_provider_model_records_model_change_once	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::set_provider_model_rejects_missing_credentials_without_switching	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::sync_runtime_selection_from_session_header_clamps_and_normalizes_thinking	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::sync_runtime_selection_from_session_header_clamps_current_thinking_when_header_omits_it	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::sync_runtime_selection_from_session_header_rejects_missing_credentials	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::test_agent_config_default	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tests::test_extract_tool_calls	yes	unit_basic_fast_deterministic	prefix	agent::tests	Core agent state, model selection, and compaction event serialization behavior.
agent::tool_effect_batch_planning_tests::append_and_process_effects_remain_serialized	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::combined_process_write_effect_is_exclusive	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::evidence_records_64_plus_compatible_batch_with_parallelism_cap	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::evidence_records_barrier_reasons_for_mixed_effects	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::metamorphic_empty_tool_batch_matches_sequential_oracle	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::metamorphic_high_count_batches_keep_transcript_deterministic	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::metamorphic_mixed_effect_batches_match_sequential_oracle	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::read_and_network_effects_share_compatible_batch	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::tool_effect_batch_planning_tests::write_effect_creates_deterministic_barrier	yes	unit_basic_fast_deterministic	prefix	agent::tool_effect_batch_planning_tests	Deterministic tool-effect batching invariants.
agent::turn_event_tests::stream_setup_errors_still_emit_turn_end_before_agent_end	yes	unit_basic_fast_deterministic	prefix	agent::turn_event_tests	Ordered turn-event emission semantics.
agent::turn_event_tests::turn_events_include_tool_execution_and_tool_result_messages	yes	unit_basic_fast_deterministic	prefix	agent::turn_event_tests	Ordered turn-event emission semantics.
agent::turn_event_tests::turn_events_wrap_assistant_response	yes	unit_basic_fast_deterministic	prefix	agent::turn_event_tests	Ordered turn-event emission semantics.
agent_cx::tests::agent_cx_is_clone	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::for_current_or_request_creates_valid_context	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::for_request_creates_valid_context	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::for_request_with_budget_creates_valid_context	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::for_testing_creates_valid_context	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::for_testing_with_io_creates_valid_context	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::from_cx_wraps_existing_context	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::fs_accessor_returns_agent_fs	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::http_accessor_returns_agent_http	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::process_accessor_returns_agent_process	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::process_command_creates_command	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
agent_cx::tests::time_accessor_returns_agent_time	yes	unit_basic_fast_deterministic	prefix	agent_cx::tests	Context wrapper and accessor behavior with in-memory handles.
app::tests::apply_piped_stdin_ignores_empty_input	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::apply_piped_stdin_trims_newlines_and_prepends_message	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::clamp_thinking_level_clamps_xhigh_for_unsupported_models	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::clamp_thinking_level_keeps_xhigh_for_supported_models	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::clamp_thinking_level_returns_off_for_non_reasoning_models	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::default_model_from_available_applies_kimi_coding_alias_mapping	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::default_model_from_available_applies_vercel_gateway_alias_mapping	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::default_model_from_available_matches_default_id_case_insensitively	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::default_model_from_available_prefers_azure_legacy_default	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::default_model_from_available_prefers_latest_openai_codex_default	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::is_alias_handles_non_ascii_model_ids_without_panicking	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
app::tests::normalize_cli_enables_no_session_for_print_and_lowercases_provider	yes	unit_basic_fast_deterministic	prefix	app::tests	CLI/app model-selection and normalization behavior without external systems.
